"","Player","Team","Position","GP","TOI","Goals","Total Assists","First Assists","Second Assists","Total Points","IPP","Shots","SH%","ixG","iCF","iFF","iSCF","iHDCF","Rush Attempts","Rebounds Created","PIM","Total Penalties","Minor","Major","Misconduct","Penalties Drawn","Giveaways","Takeaways","Hits","Hits Taken","Shots Blocked","Faceoffs Won","Faceoffs Lost","Faceoffs %"
"279","Tomas Tatar","MTL","L","80","1311.9166666667","25","33","21","12","58","75.32","195","12.82","18.52","340","262","199","85","17","23","34","17","17","0","0","12","44","52","77","84","30","10","29","25.64"
"97","Kris Letang","PIT","D","65","1687.35","16","40","25","15","56","47.46","206","7.77","10.17","379","265","96","15","7","27","48","20","19","0","1","12","76","63","116","96","111","0","0","-"
"207","Josh Bailey","NYI","R","82","1379.8666666667","16","40","26","14","56","72.73","126","12.70","12.41","221","162","150","57","6","16","21","9","8","1","0","6","80","41","19","42","32","140","132","51.47"
"219","Roman Josi","NSH","D","82","2063.5666666667","15","41","21","20","56","54.37","274","5.47","16.82","508","364","150","36","11","29","42","17","16","0","1","12","65","36","53","100","144","0","1","0.00"
"265","Evander Kane","S.J","L","75","1380.7833333333","30","26","13","13","56","62.92","268","11.19","26.32","446","351","263","126","20","39","153","47","38","3","6","28","38","48","173","143","25","92","120","43.40"
"454","William Karlsson","VGK","C","82","1545.45","24","32","20","12","56","65.88","169","14.20","19.04","316","244","189","90","16","19","16","8","8","0","0","17","41","73","51","103","55","588","646","47.65"
"755","Kevin Labanc","S.J","R","82","1149.6166666667","17","39","18","21","56","70.89","130","13.08","13.44","253","191","147","51","6","8","36","18","18","0","0","14","51","22","66","89","16","9","14","39.13"
"796","Brock Boeser","VAN","R","69","1322.3","26","30","16","14","56","64.37","209","12.44","19.35","403","289","218","67","9","20","22","11","11","0","0","10","33","40","14","48","22","39","51","43.33"
"810","Thomas Chabot","OTT","D","70","1700.2166666667","14","41","12","29","55","47.41","185","7.57","9.69","377","244","108","24","9","23","32","16","16","0","0","16","72","31","71","114","112","0","0","-"
"88","T.J. Oshie","WSH","R","69","1284.1666666667","25","29","14","15","54","56.84","144","17.36","19.48","263","219","183","95","3","22","36","17","17","0","0","23","38","46","133","93","55","84","121","40.98"
"262","Victor Hedman","T.B","D","70","1593.9333333333","12","42","21","21","54","43.20","182","6.59","10.27","328","254","95","28","13","19","44","22","22","0","0","9","50","32","59","68","97","0","1","0.00"
"266","Brayden Schenn","STL","C","72","1337.3833333333","17","37","25","12","54","65.85","159","10.69","21.21","263","226","203","102","11","11","40","17","15","2","0","14","42","51","111","89","31","323","357","47.50"
"557","Andreas Athanasiou","DET","C","76","1290.0666666667","30","24","17","7","54","72.97","216","13.89","21.87","387","304","215","88","14","11","38","15","14","0","1","32","47","26","33","64","26","171","228","42.86"
"8","Justin Williams","CAR","R","82","1430.3","23","30","18","12","53","60.92","237","9.70","25.86","377","317","218","126","8","28","44","22","22","0","0","27","88","63","55","167","32","92","150","38.02"
"148","Jamie Benn","DAL","L","78","1421.7","27","26","15","11","53","58.89","189","14.29","23.34","329","255","214","115","5","22","56","25","23","2","0","19","80","44","142","68","71","205","213","49.04"
"278","Reilly Smith","VGK","R","74","1352.1","19","34","22","12","53","63.86","178","10.67","22.13","302","239","200","92","11","10","14","7","7","0","0","12","54","67","39","96","33","5","2","71.43"
"348","Brock Nelson","NYI","C","82","1473.7166666667","25","28","13","15","53","71.62","181","13.81","20.97","294","236","213","95","10","10","28","14","14","0","0","15","47","54","51","114","55","594","652","47.67"
"482","Phillip Danault","MTL","C","81","1438.8166666667","12","41","26","15","53","65.43","132","9.09","14.53","236","181","145","70","8","20","39","18","17","1","0","18","53","49","95","111","60","882","706","55.54"
"492","Torey Krug","BOS","D","64","1363.2166666667","6","47","25","22","53","55.79","151","3.97","7.6","318","225","64","7","2","23","33","11","9","1","1","10","52","20","53","84","60","0","0","-"
"645","Jonathan Drouin","MTL","C, L","81","1371.4333333333","18","35","26","9","53","67.95","190","9.47","15.37","325","247","143","46","7","19","26","12","12","0","0","21","48","50","55","52","23","37","51","42.05"
